daily_screen_time_hours,social_media_hours,sleep_hours,addicted_label
3.23,2.01,7.55,0
5.09,3.81,7.66,0
6.06,1.36,4.92,0
7.83,5.85,8.23,1
9.96,5.92,6.21,1
9.32,4.26,6.9,1
10.4,4.93,8.61,1
4.26,4.6,6.43,1
4.38,1.38,6.23,0
9.76,4.73,5.21,1
8.48,1.34,8.0,1
5.16,1.82,7.79,0
11.52,1.41,8.84,1
4.09,1.74,5.54,0
10.74,0.89,5.46,1
3.87,2.87,7.78,0
4.71,2.97,5.62,0
10.52,5.83,5.25,1
11.87,1.96,6.4,1
11.72,3.69,4.76,1
10.66,0.88,6.32,1
5.85,1.93,5.7,0
3.66,1.67,8.46,0
3.07,4.99,8.73,1
9.46,1.62,6.7,1
9.94,4.0,6.98,1
4.33,1.2,8.08,0
10.96,2.74,8.68,1
10.04,2.76,5.62,1
6.15,5.01,7.47,1
6.6,5.9,5.02,1
6.11,4.83,5.02,1
9.18,5.67,6.44,1
9.0,2.29,5.36,1
5.73,1.66,5.95,0
5.55,4.15,8.78,1
11.86,3.86,8.49,1
8.9,0.53,4.98,1
11.26,1.17,6.89,1
7.05,4.63,8.0,1
6.02,5.41,6.22,1
4.86,2.81,7.63,0
7.84,4.54,6.7,1
10.56,5.56,8.58,1
3.45,2.59,7.93,0
9.74,0.79,4.81,1
5.15,3.1,6.59,0
8.21,5.61,6.19,1
10.65,3.8,8.02,1
10.4,1.08,8.23,1
10.43,3.76,8.71,1
10.66,1.5,6.03,1
9.48,3.19,7.41,1
5.76,3.7,6.41,0
5.07,4.47,8.78,1
8.37,5.89,6.12,1
5.63,5.69,4.96,1
5.27,5.24,6.71,1
4.07,4.7,5.52,1
8.49,4.57,5.45,1
7.05,3.77,7.68,0
7.9,4.06,4.82,1
9.2,4.35,6.72,1
5.06,4.21,4.59,1
11.97,2.9,6.62,1
5.59,5.7,6.55,1
4.69,2.49,7.92,0
11.76,3.85,6.98,1
7.49,4.44,8.26,1
9.72,1.25,8.34,1
10.79,2.96,7.93,1
3.39,4.6,6.24,1
3.9,5.51,8.42,1
10.67,5.19,5.92,1
11.98,4.61,7.35,1
10.17,2.11,6.89,1
5.09,4.01,8.55,1
8.75,2.83,5.4,1
3.2,5.07,8.39,1
4.97,1.55,7.95,0
8.22,4.53,7.86,1
11.23,5.69,8.42,1
11.71,4.93,4.56,1
3.98,1.79,7.03,0
4.05,0.75,5.02,0
10.97,4.1,8.73,1
3.89,4.27,6.11,1
8.78,3.78,5.6,1
9.97,4.84,8.93,1
6.22,4.84,5.69,1
7.62,1.1,4.7,0
6.84,1.09,8.55,1
5.65,3.28,5.01,0
6.05,2.99,6.42,0
3.84,1.03,7.0,0
10.81,4.47,6.08,1
10.61,2.52,8.13,1
5.46,4.69,5.32,1
4.94,2.81,7.75,0
9.07,2.0,6.49,1
9.1,3.76,5.49,1
5.95,0.54,6.21,0
6.93,3.03,6.43,0
10.21,3.9,4.9,1
9.71,1.72,7.35,1
4.32,1.58,7.45,0
4.36,0.88,5.74,0
6.32,2.08,4.91,1
5.89,3.12,4.97,0
11.92,3.38,8.63,1
3.85,4.23,7.45,1
4.16,4.4,7.4,1
3.16,2.2,7.95,0
9.94,5.09,6.02,1
9.49,0.74,8.86,1
11.14,1.57,6.48,1
10.86,0.79,8.7,1
11.15,1.31,5.5,1
5.12,5.97,8.69,1
9.83,3.08,4.59,1
5.71,0.76,6.56,0
3.01,2.44,7.51,0
8.72,5.9,8.05,1
6.17,2.36,7.58,1
4.81,4.85,5.9,1
10.79,2.33,8.5,1
6.31,4.89,6.41,1
5.95,2.13,5.25,0
3.68,4.01,7.56,1
5.12,4.05,4.65,1
